Sample ID,Commodity,Pesticide Code,Pesticide Name,Concentration,LOD,pp_,Annotate,Quantitate,Mean,Commodity Type,Variety,Commodity Claim,Facility Type,Origin,Country,State,Quantity,EPA Tolerance (ppm)
"CA1810150004SZWA1P","SZ","624","Tetrahydrophthalimide (THPI)","0.086","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","20.0"
"CA1810150004SZWA1P","SZ","B16","Pyrimethanil","0.078","0.05","M","","","O","FZ","Whole","NC","R","1","","CA","","3.0"
"CA1810150004SZWA1P","SZ","B80","Acetamiprid","0.064","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","0.60"
"CA1810150004SZWA1P","SZ","AGG","Flonicamid","0.043","0.006","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1810150004SZWA1P","SZ","679","Myclobutanil","0.039","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.50"
"CA1810150004SZWA1P","SZ","B22","Cyprodinil","0.034","0.005","M","","","O","FZ","Whole","NC","R","1","","CA","","5.0"
"CA1810150004SZWA1P","SZ","B43","Thiamethoxam","0.014","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.30"
"CA1810150151SZWA1P","SZ","AFX","Novaluron","0.016","0.0086","M","","","O","FZ","Whole","NC","R","1","","CA","","0.45"
"CA1810150151SZWA1P","SZ","AGW","Chlorantraniliprole","0.015","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","1.0"
"CA1810150151SZWA1P","SZ","679","Myclobutanil","0.014","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.50"
"CA1810150151SZWA1P","SZ","B79","Trifloxystrobin","0.01","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1810150151SZWA1P","SZ","052","Malathion","0.0052","0.002","M","","","O","FZ","Whole","NC","R","1","","CA","","8"
"CA1810150151SZWA1P","SZ","624","Tetrahydrophthalimide (THPI)","0.41","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","20.0"
"CA1810150151SZWA1P","SZ","AGG","Flonicamid","0.11","0.006","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1810150151SZWA1P","SZ","B61","Pyraclostrobin","0.036","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","1.2"
"CA1810150151SZWA1P","SZ","AKG","Fluopyram","0.025","0.005","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
"CA1810150504SZWA1","SZ","B61","Pyraclostrobin","0.018","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","1.2"
"CA1810150504SZWA1","SZ","666","Carbendazim (MBC)","0.012","0.001","M","","","O","FZ","Whole","NC","R","1","","CA","","7.0"
"CA1810150504SZWA1","SZ","AFX","Novaluron","0.0095","0.0086","M","","","O","FZ","Whole","NC","R","1","","CA","","0.45"
"CA1810150504SZWA1","SZ","B80","Acetamiprid","0.0078","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","0.60"
"CA1810150504SZWA1","SZ","AGG","Flonicamid","0.0073","0.006","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1810150504SZWA1","SZ","930","Bifenthrin","0.0066","0.002","M","","","O","FZ","Whole","NC","R","1","","CA","","3.0"
"CA1810150504SZWA1","SZ","AKG","Fluopyram","0.0055","0.005","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
"CA1810150504SZWA1","SZ","052","Malathion","0.0038","0.002","M","","","O","FZ","Whole","NC","R","1","","CA","","8"
"CA1810150504SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.057","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","20.0"
"CA1810150504SZWA1","SZ","AES","Methoxyfenozide","0.03","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
"CA1810150504SZWA1","SZ","B41","Fenhexamid","0.021","0.013","M","","","O","FZ","Whole","NC","R","1","","CA","","3.0"
"CA1810150554SZWA1","SZ","B16","Pyrimethanil","0.069","0.05","M","","","O","FZ","Whole","NC","R","1","","CA","","3.0"
"CA1810150554SZWA1","SZ","B22","Cyprodinil","0.058","0.005","M","","","O","FZ","Whole","NC","R","1","","CA","","5.0"
"CA1810150554SZWA1","SZ","B80","Acetamiprid","0.05","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","0.60"
"CA1810150554SZWA1","SZ","AGG","Flonicamid","0.04","0.006","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1810150554SZWA1","SZ","679","Myclobutanil","0.031","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.50"
"CA1810150554SZWA1","SZ","B43","Thiamethoxam","0.0084","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.30"
"CA1810150554SZWA1","SZ","052","Malathion","0.005","0.002","M","","","O","FZ","Whole","NC","R","1","","CA","","8"
"CA1810150554SZWA1","SZ","607","Metalaxyl/Mefenoxam","0.0012","0.001","M","","","O","FZ","Whole","NC","R","1","","CA","","10.0"
"CA1810150554SZWA1","SZ","AFX","Novaluron","0.091","0.0086","M","","","O","FZ","Whole","NC","R","1","","CA","","0.45"
"CA1810150554SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.091","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","20.0"
"CA1810150556SZWA1","SZ","B23","Fludioxonil","0.035","0.025","M","","","O","FZ","Whole","NC","R","1","","CA","","3.0"
"CA1810150556SZWA1","SZ","B80","Acetamiprid","0.027","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","0.60"
"CA1810150556SZWA1","SZ","AGW","Chlorantraniliprole","0.025","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","1.0"
"CA1810150556SZWA1","SZ","B75","Boscalid","0.017","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","4.5"
"CA1810150556SZWA1","SZ","AGG","Flonicamid","0.016","0.006","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1810150556SZWA1","SZ","B72","Tetraconazole","0.012","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","0.25"
"CA1810150556SZWA1","SZ","AES","Methoxyfenozide","0.0092","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
"CA1810150556SZWA1","SZ","B61","Pyraclostrobin","0.0044","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","1.2"
"CA1810150556SZWA1","SZ","B22","Cyprodinil","0.076","0.005","M","","","O","FZ","Whole","NC","R","1","","CA","","5.0"
"CA1811140150SZWA1P","SZ","B43","Thiamethoxam","0.0063","0.0033","M","","","O","FZ","Whole","NC","R","1","","OH","","0.30"
"CA1811140150SZWA1P","SZ","624","Tetrahydrophthalimide (THPI)","0.17","0.01","M","","","O","FZ","Whole","NC","R","1","","OH","","20.0"
"CA1811140150SZWA1P","SZ","B22","Cyprodinil","0.072","0.005","M","","","O","FZ","Whole","NC","R","1","","OH","","5.0"
"CA1811140516SZWA1","SZ","AES","Methoxyfenozide","0.03","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
"CA1811140516SZWA1","SZ","AGG","Flonicamid","0.026","0.006","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1811140516SZWA1","SZ","B80","Acetamiprid","0.017","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","0.60"
"CA1811140516SZWA1","SZ","052","Malathion","0.012","0.002","M","","","O","FZ","Whole","NC","R","1","","CA","","8"
"CA1811140516SZWA1","SZ","AGW","Chlorantraniliprole","0.011","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","1.0"
"CA1811140516SZWA1","SZ","B75","Boscalid","0.0094","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","4.5"
"CA1811140516SZWA1","SZ","AKG","Fluopyram","0.0082","0.005","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
"CA1811140516SZWA1","SZ","B79","Trifloxystrobin","0.0016","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1811140516SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.044","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","20.0"
"CA1811140553SZWA1P","SZ","052","Malathion","0.014","0.002","M","","","O","FZ","Whole","NC","R","1","","ID","","8"
"CA1811140553SZWA1P","SZ","B80","Acetamiprid","0.0051","0.0015","M","","","O","FZ","Whole","NC","R","1","","ID","","0.60"
"CA1811140553SZWA1P","SZ","B75","Boscalid","0.0034","0.0033","M","","","O","FZ","Whole","NC","R","1","","ID","","4.5"
"CA1811140553SZWA1P","SZ","967","Imidacloprid","0.0034","0.0033","M","","","O","FZ","Whole","NC","R","1","","ID","","0.50"
"CA1811140553SZWA1P","SZ","607","Metalaxyl/Mefenoxam","0.0028","0.001","M","","","O","FZ","Whole","NC","R","1","","ID","","10.0"
"CA1811140553SZWA1P","SZ","624","Tetrahydrophthalimide (THPI)","0.079","0.01","M","","","O","FZ","Whole","NC","R","1","","ID","","20.0"
"CA1811140553SZWA1P","SZ","AGG","Flonicamid","0.03","0.006","M","","","O","FZ","Whole","NC","R","1","","ID","","1.5"
"CA1811140553SZWA1P","SZ","B43","Thiamethoxam","0.026","0.0033","M","","","O","FZ","Whole","NC","R","1","","ID","","0.30"
"CA1811140553SZWA1P","SZ","930","Bifenthrin","0.017","0.002","M","","","O","FZ","Whole","NC","R","1","","ID","","3.0"
"CA1811140554SZWA1","SZ","AKG","Fluopyram","0.026","0.005","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
"CA1811140554SZWA1","SZ","B22","Cyprodinil","0.011","0.005","M","","","O","FZ","Whole","NC","R","1","","CA","","5.0"
"CA1811140554SZWA1","SZ","A58","Tebuconazole","0.011","0.01","M","V","","O","FZ","Whole","NC","R","1","","CA","","NT"
"CA1811140554SZWA1","SZ","B80","Acetamiprid","0.0032","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","0.60"
"CA1811140554SZWA1","SZ","052","Malathion","0.002","0.002","M","","","O","FZ","Whole","NC","R","1","","CA","","8"
"CA1811140554SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.45","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","20.0"
"CA1811140554SZWA1","SZ","679","Myclobutanil","0.13","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.50"
"CA1811140554SZWA1","SZ","AGG","Flonicamid","0.041","0.006","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1811140554SZWA1","SZ","AFX","Novaluron","0.035","0.0086","M","","","O","FZ","Whole","NC","R","1","","CA","","0.45"
"CA1811140561SZWA1P","SZ","AGG","Flonicamid","0.013","0.006","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1811140561SZWA1P","SZ","679","Myclobutanil","0.012","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.50"
"CA1811140561SZWA1P","SZ","B72","Tetraconazole","0.011","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","0.25"
"CA1811140561SZWA1P","SZ","930","Bifenthrin","0.01","0.002","M","","","O","FZ","Whole","NC","R","1","","CA","","3.0"
"CA1811140561SZWA1P","SZ","ABC","Spinosad A","0.0059","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.90"
"CA1811140561SZWA1P","SZ","B61","Pyraclostrobin","0.0051","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","1.2"
"CA1811140561SZWA1P","SZ","B80","Acetamiprid","0.0027","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","0.60"
"CA1811140561SZWA1P","SZ","666","Carbendazim (MBC)","0.0021","0.001","M","","","O","FZ","Whole","NC","R","1","","CA","","7.0"
"CA1811140561SZWA1P","SZ","B16","Pyrimethanil","0.057","0.05","M","","","O","FZ","Whole","NC","R","1","","CA","","3.0"
"CA1811140561SZWA1P","SZ","AFX","Novaluron","0.033","0.0086","M","","","O","FZ","Whole","NC","R","1","","CA","","0.45"
"CA1811140561SZWA1P","SZ","B43","Thiamethoxam","0.025","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.30"
"CA1811140561SZWA1P","SZ","052","Malathion","0.025","0.002","M","","","O","FZ","Whole","NC","R","1","","CA","","8"
"CA1811140561SZWA1P","SZ","624","Tetrahydrophthalimide (THPI)","0.018","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","20.0"
"CA1812170406SZWA1P","SZ","B23","Fludioxonil","0.03","0.025","M","","","O","FZ","Whole","NC","R","1","","OH","","3.0"
"CA1812170406SZWA1P","SZ","B43","Thiamethoxam","0.0054","0.0033","M","","","R","FZ","Whole","NC","R","1","","OH","","0.30"
"CA1812170406SZWA1P","SZ","624","Tetrahydrophthalimide (THPI)","0.075","0.01","M","","","O","FZ","Whole","NC","R","1","","OH","","20.0"
"CA1812170450SZWA1","SZ","930","Bifenthrin","0.041","0.002","M","","","O","FZ","Whole","NC","R","1","","WA","","3.0"
"CA1812170450SZWA1","SZ","679","Myclobutanil","0.026","0.0033","M","","","R","FZ","Whole","NC","R","1","","WA","","0.50"
"CA1812170450SZWA1","SZ","B61","Pyraclostrobin","0.025","0.0033","M","","","R","FZ","Whole","NC","R","1","","WA","","1.2"
"CA1812170450SZWA1","SZ","666","Carbendazim (MBC)","0.025","0.001","M","","","R","FZ","Whole","NC","R","1","","WA","","7.0"
"CA1812170450SZWA1","SZ","AES","Methoxyfenozide","0.022","0.0033","M","","","R","FZ","Whole","NC","R","1","","WA","","2.0"
"CA1812170450SZWA1","SZ","808","Fenpropathrin","0.02","0.02","M","","","O","FZ","Whole","NC","R","1","","WA","","2.0"
"CA1812170450SZWA1","SZ","AFX","Novaluron","0.013","0.0086","M","","","R","FZ","Whole","NC","R","1","","WA","","0.45"
"CA1812170450SZWA1","SZ","B43","Thiamethoxam","0.011","0.0033","M","","","R","FZ","Whole","NC","R","1","","WA","","0.30"
"CA1812170547SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.31","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","20.0"
"CA1812170547SZWA1","SZ","B80","Acetamiprid","0.12","0.0015","M","","","R","FZ","Whole","NC","R","1","","CA","","0.60"
"CA1812170547SZWA1","SZ","AGG","Flonicamid","0.062","0.006","M","","","R","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1812170547SZWA1","SZ","679","Myclobutanil","0.028","0.0033","M","","","R","FZ","Whole","NC","R","1","","CA","","0.50"
"CA1812170547SZWA1","SZ","AFX","Novaluron","0.021","0.0086","M","","","R","FZ","Whole","NC","R","1","","CA","","0.45"
"CA1812170547SZWA1","SZ","B22","Cyprodinil","0.02","0.005","M","","","R","FZ","Whole","NC","R","1","","CA","","5.0"
"CA1812170547SZWA1","SZ","B48","Azoxystrobin","0.01","0.0015","M","","","R","FZ","Whole","NC","R","1","","CA","","10.0"
"CA1812170554SZWA1","SZ","AFX","Novaluron","0.05","0.0086","M","","","R","FZ","Na","NC","R","1","","CA","","0.45"
"CA1812170554SZWA1","SZ","930","Bifenthrin","0.039","0.002","M","","","O","FZ","Na","NC","R","1","","CA","","3.0"
"CA1812170554SZWA1","SZ","679","Myclobutanil","0.029","0.0033","M","","","R","FZ","Na","NC","R","1","","CA","","0.50"
"CA1812170554SZWA1","SZ","AFM","Flutriafol","0.015","0.01","M","","","R","FZ","Na","NC","R","1","","CA","","1.5"
"CA1812170554SZWA1","SZ","AGG","Flonicamid","0.012","0.006","M","","","R","FZ","Na","NC","R","1","","CA","","1.5"
"CA1812170554SZWA1","SZ","AGY","Spinetoram","0.0049","0.0033","M","","E","R","FZ","Na","NC","R","1","","CA","","0.90"
"CA1812170554SZWA1","SZ","052","Malathion","0.0045","0.002","M","","","R","FZ","Na","NC","R","1","","CA","","8"
"CA1812170554SZWA1","SZ","B80","Acetamiprid","0.0027","0.0015","M","","","R","FZ","Na","NC","R","1","","CA","","0.60"
"CA1812170554SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.63","0.01","M","","","O","FZ","Na","NC","R","1","","CA","","20.0"
"CA1812170620SZWA1","SZ","AFX","Novaluron","0.012","0.0086","M","","","R","FZ","Sliced","NC","R","1","","AR","","0.45"
"CA1812170620SZWA1","SZ","B22","Cyprodinil","0.0067","0.005","M","","","R","FZ","Sliced","NC","R","1","","AR","","5.0"
"CA1812170620SZWA1","SZ","B79","Trifloxystrobin","0.0016","0.0015","M","","","R","FZ","Sliced","NC","R","1","","AR","","1.5"
"CA1812170620SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.22","0.01","M","","","R","FZ","Sliced","NC","R","1","","AR","","20.0"
"CO1810220008SZWA1","SZ","AFX","Novaluron","0.061","0.0086","M","","","O","FZ","Sliced","NC","D","1","","TX","","0.45"
"CO1810220008SZWA1","SZ","679","Myclobutanil","0.037","0.0033","M","","","O","FZ","Sliced","NC","D","1","","TX","","0.50"
"CO1810220008SZWA1","SZ","B75","Boscalid","0.034","0.0033","M","","","O","FZ","Sliced","NC","D","1","","TX","","4.5"
"CO1810220008SZWA1","SZ","930","Bifenthrin","0.032","0.002","M","","","O","FZ","Sliced","NC","D","1","","TX","","3.0"
"CO1810220008SZWA1","SZ","666","Carbendazim (MBC)","0.025","0.001","M","","","O","FZ","Sliced","NC","D","1","","TX","","7.0"
"CO1810220008SZWA1","SZ","B22","Cyprodinil","0.02","0.005","M","","","O","FZ","Sliced","NC","D","1","","TX","","5.0"
"CO1810220008SZWA1","SZ","102","Carbaryl","0.011","0.0033","M","","","O","FZ","Sliced","NC","D","1","","TX","","4.0"
"CO1810220008SZWA1","SZ","B61","Pyraclostrobin","0.0089","0.0033","M","","","O","FZ","Sliced","NC","D","1","","TX","","1.2"
"CO1810220008SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.47","0.01","M","","","O","FZ","Sliced","NC","D","1","","TX","","20.0"
"CO1810220008SZWA1","SZ","B16","Pyrimethanil","0.12","0.05","M","","","O","FZ","Sliced","NC","D","1","","TX","","3.0"
"CO1810220008SZWA1","SZ","070","Piperonyl butoxide","0.1","0.005","M","","","O","FZ","Sliced","NC","D","1","","TX","","10"
"CO1810220008SZWA1","SZ","808","Fenpropathrin","0.086","0.02","M","","","O","FZ","Sliced","NC","D","1","","TX","","2.0"
"CO1810220008SZWA1","SZ","B80","Acetamiprid","0.085","0.0015","M","","","O","FZ","Sliced","NC","D","1","","TX","","0.60"
"CO1810220008SZWA1","SZ","B41","Fenhexamid","0.083","0.013","M","","","O","FZ","Sliced","NC","D","1","","TX","","3.0"
"CO1810220010SZWA1","SZ","666","Carbendazim (MBC)","0.031","0.001","M","","","O","FZ","Whole","NC","D","1","","TX","","7.0"
"CO1810220010SZWA1","SZ","AFX","Novaluron","0.026","0.0086","M","","","O","FZ","Whole","NC","D","1","","TX","","0.45"
"CO1810220010SZWA1","SZ","930","Bifenthrin","0.023","0.002","M","","","O","FZ","Whole","NC","D","1","","TX","","3.0"
"CO1810220010SZWA1","SZ","679","Myclobutanil","0.023","0.0033","M","","","O","FZ","Whole","NC","D","1","","TX","","0.50"
"CO1810220010SZWA1","SZ","B61","Pyraclostrobin","0.019","0.0033","M","","","O","FZ","Whole","NC","D","1","","TX","","1.2"
"CO1810220010SZWA1","SZ","B43","Thiamethoxam","0.0072","0.0033","M","","","O","FZ","Whole","NC","D","1","","TX","","0.30"
"CO1810220010SZWA1","SZ","052","Malathion","0.0065","0.002","M","","","O","FZ","Whole","NC","D","1","","TX","","8"
"CO1810220010SZWA1","SZ","607","Metalaxyl/Mefenoxam","0.0028","0.001","M","","","O","FZ","Whole","NC","D","1","","TX","","10.0"
"CO1810220010SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.29","0.01","M","","","O","FZ","Whole","NC","D","1","","TX","","20.0"
"CO1810220010SZWA1","SZ","808","Fenpropathrin","0.081","0.02","M","","","O","FZ","Whole","NC","D","1","","TX","","2.0"
"CO1810220010SZWA1","SZ","B80","Acetamiprid","0.058","0.0015","M","","","O","FZ","Whole","NC","D","1","","TX","","0.60"
"CO1810220010SZWA1","SZ","AGG","Flonicamid","0.036","0.006","M","","","O","FZ","Whole","NC","D","1","","TX","","1.5"
"CO1811260006SZWA1","SZ","AFX","Novaluron","0.02","0.0086","M","","","R","FZ","Whole","NC","D","1","","IL","","0.45"
"CO1811260006SZWA1","SZ","AGG","Flonicamid","0.092","0.006","M","","","O","FZ","Whole","NC","D","1","","IL","","1.5"
"CO1811260006SZWA1","SZ","AKG","Fluopyram","0.071","0.005","M","","","O","FZ","Whole","NC","D","1","","IL","","2.0"
"CO1811260006SZWA1","SZ","B80","Acetamiprid","0.054","0.0015","M","","","O","FZ","Whole","NC","D","1","","IL","","0.60"
"CO1811260006SZWA1","SZ","B79","Trifloxystrobin","0.044","0.0015","M","","","O","FZ","Whole","NC","D","1","","IL","","1.5"
"CO1811260010SZWA1","SZ","052","Malathion","0.023","0.002","M","","","O","FZ","Whole","NC","D","1","","TX","","8"
"CO1811260010SZWA1","SZ","AFX","Novaluron","0.011","0.0086","M","","","O","FZ","Whole","NC","D","1","","TX","","0.45"
"CO1811260010SZWA1","SZ","B43","Thiamethoxam","0.0092","0.0033","M","","","O","FZ","Whole","NC","D","1","","TX","","0.30"
"CO1811260010SZWA1","SZ","B61","Pyraclostrobin","0.008","0.0033","M","","","O","FZ","Whole","NC","D","1","","TX","","1.2"
"CO1811260010SZWA1","SZ","AES","Methoxyfenozide","0.0052","0.0033","M","","","O","FZ","Whole","NC","D","1","","TX","","2.0"
"CO1811260010SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.089","0.01","M","","","O","FZ","Whole","NC","D","1","","TX","","20.0"
"CO1811260010SZWA1","SZ","AGG","Flonicamid","0.045","0.006","M","","","O","FZ","Whole","NC","D","1","","TX","","1.5"
"CO1811260010SZWA1","SZ","808","Fenpropathrin","0.039","0.02","M","","","O","FZ","Whole","NC","D","1","","TX","","2.0"
"CO1812030007SZWA1","SZ","B22","Cyprodinil","0.022","0.005","M","","","R","FZ","Whole","NC","D","1","","OH","","5.0"
"CO1812030012SZWA1","SZ","930","Bifenthrin","0.013","0.002","M","","","O","FZ","Whole","NC","D","1","","AZ","","3.0"
"CO1812030012SZWA1","SZ","679","Myclobutanil","0.0084","0.0033","M","","","R","FZ","Whole","NC","D","1","","AZ","","0.50"
"CO1812030012SZWA1","SZ","B79","Trifloxystrobin","0.0072","0.0015","M","","","R","FZ","Whole","NC","D","1","","AZ","","1.5"
"CO1812030012SZWA1","SZ","AFX","Novaluron","0.039","0.0086","M","","","R","FZ","Whole","NC","D","1","","AZ","","0.45"
"CO1812030012SZWA1","SZ","B80","Acetamiprid","0.025","0.0015","M","","","R","FZ","Whole","NC","D","1","","AZ","","0.60"
"CO1812030012SZWA1","SZ","B72","Tetraconazole","0.022","0.01","M","","","R","FZ","Whole","NC","D","1","","AZ","","0.25"
"FL1811260040SZWA1","SZ","679","Myclobutanil","0.023","0.0033","M","","","O","FZ","Whole","NC","H","1","","TX","","0.50"
"FL1811260040SZWA1","SZ","930","Bifenthrin","0.022","0.002","M","","","O","FZ","Whole","NC","H","1","","TX","","3.0"
"FL1811260040SZWA1","SZ","666","Carbendazim (MBC)","0.013","0.001","M","","","O","FZ","Whole","NC","H","1","","TX","","7.0"
"FL1811260040SZWA1","SZ","B43","Thiamethoxam","0.0057","0.0033","M","","","O","FZ","Whole","NC","H","1","","TX","","0.30"
"FL1811260040SZWA1","SZ","052","Malathion","0.0047","0.002","M","","","O","FZ","Whole","NC","H","1","","TX","","8"
"FL1811260040SZWA1","SZ","B80","Acetamiprid","0.0046","0.0015","M","","","O","FZ","Whole","NC","H","1","","TX","","0.60"
"FL1811260040SZWA1","SZ","B75","Boscalid","0.0037","0.0033","M","","","O","FZ","Whole","NC","H","1","","TX","","4.5"
"FL1811260040SZWA1","SZ","B61","Pyraclostrobin","0.0036","0.0033","M","","","O","FZ","Whole","NC","H","1","","TX","","1.2"
"FL1811260040SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.17","0.01","M","","","O","FZ","Whole","NC","H","1","","TX","","20.0"
"FL1811260040SZWA1","SZ","AGG","Flonicamid","0.06","0.006","M","","","O","FZ","Whole","NC","H","1","","TX","","1.5"
"FL1811260040SZWA1","SZ","AFX","Novaluron","0.046","0.0086","M","","","O","FZ","Whole","NC","H","1","","TX","","0.45"
"FL1812030040SZWA1","SZ","679","Myclobutanil","0.029","0.0033","M","","","R","FZ","Sliced","NC","H","1","","CA","","0.50"
"FL1812030040SZWA1","SZ","AFX","Novaluron","0.017","0.0086","M","","","R","FZ","Sliced","NC","H","1","","CA","","0.45"
"FL1812030040SZWA1","SZ","B80","Acetamiprid","0.0059","0.0015","M","","","R","FZ","Sliced","NC","H","1","","CA","","0.60"
"FL1812030040SZWA1","SZ","052","Malathion","0.0046","0.002","M","","","R","FZ","Sliced","NC","H","1","","CA","","8"
"FL1812030040SZWA1","SZ","624","Tetrahydrophthalimide (THPI)","0.078","0.01","M","","","R","FZ","Sliced","NC","H","1","","CA","","20.0"
