"Year","State","State ANSI","category","measurement","Value","use","Chemical","Number"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," FUNGICIDE","BLAD",30006
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","2,800"," FUNGICIDE","BORAX DECAHYDRATE",11102
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","6,600"," FUNGICIDE","BOSCALID",128008
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(NA)"," FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19",6544
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","603,100"," FUNGICIDE","CAPTAN",81301
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," FUNGICIDE","CYFLUFENAMID",555550
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","30,300"," FUNGICIDE","CYPRODINIL",288202
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," FUNGICIDE","DIFENOCONAZOLE",128847
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","8,600"," FUNGICIDE","FENHEXAMID",90209
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","22,400"," FUNGICIDE","FLUDIOXONIL",71503
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","14,600"," FUNGICIDE","FLUOPYRAM",80302
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","7,100"," FUNGICIDE","FLUXAPYROXAD",138009
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," FUNGICIDE","FOSETYL-AL",123301
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," FUNGICIDE","ISOFETAMID",270000
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","7,200"," FUNGICIDE","MEFENOXAM",113502
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," FUNGICIDE","MONO-POTASSIUM SALT",76416
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","10,800"," FUNGICIDE","MYCLOBUTANIL",128857
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","4,000"," FUNGICIDE","PENTHIOPYRAD",90112
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","3,300"," FUNGICIDE","POLYOXIN D ZINC SALT",230000
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","2,300"," FUNGICIDE","PROPICONAZOLE",122101
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," FUNGICIDE","PYDIFLUMETOFEN",90110
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","10,600"," FUNGICIDE","PYRACLOSTROBIN",99100
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","8,300"," FUNGICIDE","PYRIMETHANIL",288201
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","3,600"," FUNGICIDE","QUINOLINE",55459
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","1,258,100"," FUNGICIDE","SULFUR",77501
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","1,300"," FUNGICIDE","TETRACONAZOLE",120603
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","10,600"," FUNGICIDE","THIOPHANATE-METHYL",102001
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","269,500"," FUNGICIDE","THIRAM",79801
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","2,338,800"," FUNGICIDE","CHEMICAL",NA
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","14,600"," FUNGICIDE","TRIFLOXYSTROBIN",129112
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," FUNGICIDE","TRIFLUMIZOLE",128879
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," HERBICIDE","CARFENTRAZONE-ETHYL",128712
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","3,900"," HERBICIDE","FLUMIOXAZIN",129034
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," HERBICIDE","OXYFLUORFEN",111601
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","71,400"," HERBICIDE","PENDIMETHALIN",108501
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","89,700"," HERBICIDE","CHEMICAL",NA
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","300"," INSECTICIDE","ABAMECTIN",122804
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","12,800"," INSECTICIDE","ACEQUINOCYL",6329
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","3,300"," INSECTICIDE","ACETAMIPRID",99050
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","2,800"," INSECTICIDE","AZADIRACHTIN",121701
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(NA)"," INSECTICIDE","BEAUVERIA BASSIANA",128924
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","28,700"," INSECTICIDE","BIFENAZATE",586
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","4,600"," INSECTICIDE","BIFENTHRIN",128825
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(NA)"," INSECTICIDE","BT KURSTAK ABTS-1857",6523
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(NA)"," INSECTICIDE","BT KURSTAKI ABTS-351",6522
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(NA)"," INSECTICIDE","BT KURSTAKI SA-11",6519
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","CANOLA OIL",11332
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","2,000"," INSECTICIDE","CHLORANTRANILIPROLE",90100
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(NA)"," INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA",16329
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","1,700"," INSECTICIDE","CYANTRANILIPROLE",90098
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","7,600"," INSECTICIDE","CYFLUMETOFEN",138831
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","ETOXAZOLE",107091
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","FENBUTATIN-OXIDE",104601
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","6,600"," INSECTICIDE","FENPROPATHRIN",127901
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","FENPYROXIMATE",129131
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","6,200"," INSECTICIDE","FLONICAMID",128016
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","5,000"," INSECTICIDE","FLUPYRADIFURONE",122304
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","5,400"," INSECTICIDE","HEXYTHIAZOX",128849
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","3,100"," INSECTICIDE","IMIDACLOPRID",129099
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","LAMBDA-CYHALOTHRIN",128897
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","19,400"," INSECTICIDE","MALATHION",57701
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","7,900"," INSECTICIDE","METHOXYFENOZIDE",121027
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","NALED",34401
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","NEEM OIL",25006
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","NEEM OIL",NA
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","5,600"," INSECTICIDE","NOVALURON",124002
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","PIPERONYL BUTOXIDE",67501
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","PYRETHRINS",69001
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," INSECTICIDE","PYRIDABEN",129105
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","3,800"," INSECTICIDE","SPINETORAM",110007
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","2,000"," INSECTICIDE","SPINOSAD",110003
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","1,300"," INSECTICIDE","THIAMETHOXAM",60109
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","231,600"," INSECTICIDE","CHEMICAL",NA
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," OTHER","ACIBENZOLAR-S-METHYL",61402
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(NA)"," OTHER","CAPSICUM OLEORESIN EXTRACT",70704
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","11,299,000"," OTHER","CHLOROPICRIN",81501
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","1,642,600"," OTHER","DICHLOROPROPENE",29001
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","3,900"," OTHER","FLUTRIAFOL",128940
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," OTHER","GARLIC OIL",128827
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," OTHER","HYDROGEN PEROXIDE",595
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," OTHER","IRON PHOSPHATE",34903
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," OTHER","METALDEHYDE",53001
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," OTHER","METAM-POTASSIUM",39002
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," OTHER","METAM-SODIUM",39003
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," OTHER","PEROXYACETIC ACID",63201
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(NA)"," OTHER","PSEUDOMONAS CHLORORAPHIS STRAIN AFS009",6800
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(D)"," OTHER","REYNOUTRIA SACHALINE",55809
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","15,611,900"," OTHER","CHEMICAL",NA
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.234"," FUNGICIDE","AZOXYSTROBIN",128810
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",16482
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," FUNGICIDE","BACILLUS SUBTILIS",6479
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," FUNGICIDE","BLAD",30006
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.042"," FUNGICIDE","BORAX DECAHYDRATE",11102
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.354"," FUNGICIDE","BOSCALID",128008
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19",6544
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","1.693"," FUNGICIDE","CAPTAN",81301
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," FUNGICIDE","CYFLUFENAMID",555550
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.316"," FUNGICIDE","CYPRODINIL",288202
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," FUNGICIDE","DIFENOCONAZOLE",128847
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.659"," FUNGICIDE","FENHEXAMID",90209
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.211"," FUNGICIDE","FLUDIOXONIL",71503
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.119"," FUNGICIDE","FLUOPYRAM",80302
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.161"," FUNGICIDE","FLUXAPYROXAD",138009
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," FUNGICIDE","FOSETYL-AL",123301
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," FUNGICIDE","ISOFETAMID",270000
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.5"," FUNGICIDE","MEFENOXAM",113502
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," FUNGICIDE","MONO-POTASSIUM SALT",76416
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.105"," FUNGICIDE","MYCLOBUTANIL",128857
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.271"," FUNGICIDE","PENTHIOPYRAD",90112
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.061"," FUNGICIDE","POLYOXIN D ZINC SALT",230000
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.112"," FUNGICIDE","PROPICONAZOLE",122101
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," FUNGICIDE","PYDIFLUMETOFEN",90110
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.167"," FUNGICIDE","PYRACLOSTROBIN",99100
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.658"," FUNGICIDE","PYRIMETHANIL",288201
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.095"," FUNGICIDE","QUINOLINE",55459
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","5.471"," FUNGICIDE","SULFUR",77501
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.036"," FUNGICIDE","TETRACONAZOLE",120603
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.695"," FUNGICIDE","THIOPHANATE-METHYL",102001
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","2.201"," FUNGICIDE","THIRAM",79801
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.119"," FUNGICIDE","TRIFLOXYSTROBIN",129112
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," FUNGICIDE","TRIFLUMIZOLE",128879
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," HERBICIDE","CARFENTRAZONE-ETHYL",128712
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.078"," HERBICIDE","FLUMIOXAZIN",129034
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," HERBICIDE","OXYFLUORFEN",111601
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.923"," HERBICIDE","PENDIMETHALIN",108501
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.019"," INSECTICIDE","ABAMECTIN",122804
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.299"," INSECTICIDE","ACEQUINOCYL",6329
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.129"," INSECTICIDE","ACETAMIPRID",99050
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.03"," INSECTICIDE","AZADIRACHTIN",121701
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," INSECTICIDE","BEAUVERIA BASSIANA",128924
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.5"," INSECTICIDE","BIFENAZATE",586
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.116"," INSECTICIDE","BIFENTHRIN",128825
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," INSECTICIDE","BT KURSTAK ABTS-1857",6523
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," INSECTICIDE","BT KURSTAKI ABTS-351",6522
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," INSECTICIDE","BT KURSTAKI SA-11",6519
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","CANOLA OIL",11332
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.063"," INSECTICIDE","CHLORANTRANILIPROLE",90100
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA",16329
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.117"," INSECTICIDE","CYANTRANILIPROLE",90098
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.178"," INSECTICIDE","CYFLUMETOFEN",138831
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","ETOXAZOLE",107091
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","FENBUTATIN-OXIDE",104601
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.26"," INSECTICIDE","FENPROPATHRIN",127901
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","FENPYROXIMATE",129131
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.087"," INSECTICIDE","FLONICAMID",128016
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.182"," INSECTICIDE","FLUPYRADIFURONE",122304
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.186"," INSECTICIDE","HEXYTHIAZOX",128849
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.457"," INSECTICIDE","IMIDACLOPRID",129099
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","LAMBDA-CYHALOTHRIN",128897
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","1.807"," INSECTICIDE","MALATHION",57701
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.169"," INSECTICIDE","METHOXYFENOZIDE",121027
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","NALED",34401
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","NEEM OIL",25006
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","NEEM OIL",NA
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.077"," INSECTICIDE","NOVALURON",124002
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","PIPERONYL BUTOXIDE",67501
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","PYRETHRINS",69001
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","PYRIDABEN",129105
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.071"," INSECTICIDE","SPINETORAM",110007
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.094"," INSECTICIDE","SPINOSAD",110003
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.062"," INSECTICIDE","THIAMETHOXAM",60109
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," OTHER","ACIBENZOLAR-S-METHYL",61402
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," OTHER","CAPSICUM OLEORESIN EXTRACT",70704
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","188.284"," OTHER","CHLOROPICRIN",81501
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","111.391"," OTHER","DICHLOROPROPENE",29001
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","0.114"," OTHER","FLUTRIAFOL",128940
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," OTHER","GARLIC OIL",128827
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," OTHER","HYDROGEN PEROXIDE",595
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," OTHER","IRON PHOSPHATE",34903
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," OTHER","METALDEHYDE",53001
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," OTHER","METAM-POTASSIUM",39002
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," OTHER","METAM-SODIUM",39003
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," OTHER","PEROXYACETIC ACID",63201
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," OTHER","PSEUDOMONAS CHLORORAPHIS STRAIN AFS009",6800
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," OTHER","REYNOUTRIA SACHALINE",55809
